# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   1.044 us    |                            } /* unlock_page_memcg */
 1)   3.469 us    |                          } /* page_remove_rmap */
 1)   0.384 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.372 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.372 us    |                              __unlock_page_memcg();
 1)   1.068 us    |                            }
 1)   3.169 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.360 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.157 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.360 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.157 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.372 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.181 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.372 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.169 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.372 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.169 us    |                          }
 1)   0.384 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.372 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.169 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.360 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.157 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.182 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.361 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.158 us    |                          }
 1)   0.384 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.361 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.372 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.170 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.361 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.158 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.361 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.158 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.170 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.360 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.170 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)   0.384 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.056 us    |                            }
 1)   3.170 us    |                          }
 1)               |                          _cond_resched() {
 1)   0.372 us    |                            rcu_all_qs();
 1)   1.680 us    |                          }
 1)               |                          _cond_resched() {
 1)   0.360 us    |                            rcu_all_qs();
 1)   1.069 us    |                          }
 1) ! 201.188 us  |                        } /* unmap_page_range */
 1) ! 202.689 us  |                      } /* unmap_single_vma */
 1)               |                      unmap_single_vma() {
 1)               |                        unmap_page_range() {
 1)   0.504 us    |                          _raw_spin_lock();
 1)   0.360 us    |                          flush_tlb_batched_pending();
 1)   0.372 us    |                          _vm_normal_page();
 1)               |                          page_remove_rmap() {
 1)               |                            __dec_node_page_state() {
 1)   0.408 us    |                              __dec_node_state();
 1)   1.104 us    |                            }
 1)   1.824 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)               |                          page_remove_rmap() {
 1)               |                            __dec_node_page_state() {
 1)   0.360 us    |                              __dec_node_state();
 1)   1.068 us    |                            }
 1)   1.789 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)               |                          page_remove_rmap() {
 1)               |                            __dec_node_page_state() {
 1)   0.372 us    |                              __dec_node_state();
 1)   1.069 us    |                            }
 1)   1.777 us    |                          }
 1)   0.372 us    |                          _vm_normal_page();
 1)               |                          page_remove_rmap() {
 1)               |                            __dec_node_page_state() {
 1)   0.372 us    |                              __dec_node_state();
 1)   1.069 us    |                            }
 1)   1.777 us    |                          }
 1)               |                          _cond_resched() {
 1)   0.372 us    |                            rcu_all_qs();
 1)   1.081 us    |                          }
 1)               |                          _cond_resched() {
 1)   0.360 us    |                            rcu_all_qs();
 1)   1.056 us    |                          }
 1) + 16.843 us   |                        }
 1) + 17.563 us   |                      }
 1)               |                      unmap_single_vma() {
 1)   0.396 us    |                        uprobe_munmap();
 1)               |                        unmap_page_range() {
 1)   0.372 us    |                          _raw_spin_lock();
 1)   0.361 us    |                          flush_tlb_batched_pending();
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.397 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.068 us    |                            }
 1)   3.230 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.360 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.372 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.182 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.360 us    |                              __unlock_page_memcg();
 1)   1.044 us    |                            }
 1)   3.170 us    |                          }
 1)   0.360 us    |                          _vm_normal_page();
 1)   0.372 us    |                          mark_page_accessed();
 1)               |                          page_remove_rmap() {
 1)   0.373 us    |                            lock_page_memcg();
 1)   0.372 us    |                            PageHuge();
 1)               |                            unlock_page_memcg() {
 1)   0.372 us    |                              __unlock_page_memcg();
 1)   1.057 us    |                            }
 1)   3.410 us    |                          }
